Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change
49,Male,PhD,Divorced,72799,688,45713,Business,Unemployed,19,Poor,0.15431329631270066,120228,0,Port Elizabeth,AS,Cyprus,2,2
57,Female,Bachelor's,Widowed,,690,33835,Auto,Employed,6,Fair,0.14891964322471593,55849,0,North Catherine,OH,Turkmenistan,3,2
21,Non-binary,Master's,Single,55687,600,36623,Home,Employed,8,Fair,0.36239801732546084,180700,3,South Scott,OK,Luxembourg,3,2
59,Male,Bachelor's,Single,26508,622,26541,Personal,Unemployed,2,Excellent,0.45496438073379486,157319,3,Robinhaven,PR,Uganda,4,2
25,Non-binary,Bachelor's,Widowed,49427,766,36528,Personal,Unemployed,10,Fair,0.14324242402046136,287140,,New Heather,IL,Namibia,3,1
30,Non-binary,PhD,Divorced,,717,15613,Business,Unemployed,5,Fair,0.2959844500430854,,4,Brianland,TN,Iceland,3,1
31,Non-binary,Master's,Widowed,45280,672,6553,Personal,Self-employed,1,Good,0.37888993741531785,,,West Lindaview,MD,Bouvet Island (Bouvetoya),0,1
18,Male,Bachelor's,Widowed,93678,,,Business,Unemployed,10,Poor,0.3966357236164678,246597,1,Melissahaven,MA,Honduras,1,1
32,Non-binary,Bachelor's,Widowed,20205,710,,Auto,Unemployed,4,Fair,0.335964978,227599,0,North Beverly,DC,Pitcairn Islands,4,2
55,Male,Bachelor's,Married,32190,600,29918,Personal,Self-employed,5,Excellent,0.48433330455936785,130507,4,Davidstad,VT,Thailand,,2
42,Non-binary,Master's,Single,116212,707,24771,Home,Employed,11,Excellent,0.11413374759829523,212198,3,Matthewborough,NH,French Guiana,0,2
37,Non-binary,Master's,Divorced,78855,718,,Home,Self-employed,17,Poor,0.19392128861142002,272522,,Orrstad,OH,Antarctica (the territory South of 60 deg S),3,2
60,Female,PhD,Divorced,,686,15497,Personal,Self-employed,18,Poor,0.32817470742252786,47603,4,West Kelseymouth,NM,Eritrea,2,2
68,Male,High School,Divorced,79454,688,43365,Personal,Self-employed,15,Good,0.32928154385036545,61967,,Dakotafurt,IA,Grenada,3,0
29,Male,High School,Divorced,119510,,5013,Auto,Employed,17,Poor,0.49972186119334105,50568,,Deborahtown,AZ,Solomon Islands,2,2
68,Female,PhD,Divorced,,,42951,Auto,Self-employed,6,Fair,0.5507459353458977,67070,4,East Kristin,MH,Guadeloupe,2,2
55,Male,High School,Married,70978,706,36970,Personal,Unemployed,19,Excellent,0.26694090925040004,54041,3,Christophermouth,MO,Tonga,1,0
18,Female,Master's,Widowed,102628,654,25442,Home,Unemployed,8,Poor,0.1618325788225118,,3,West Patrick,IA,Taiwan,1,2
60,Non-binary,Bachelor's,Divorced,,738,37001,Business,Employed,7,Fair,0.33897097318669367,53055,,Johnsonstad,MS,Malawi,1,2
56,Non-binary,PhD,Married,21084,702,22039,Personal,Employed,19,Fair,0.23104637400031283,226053,2,East James,MP,Isle of Man,0,2
26,Female,PhD,Divorced,51460,,29970,Business,Unemployed,19,Excellent,0.43023258760059047,252797,1,West Jack,DE,Tonga,3,0
22,Non-binary,PhD,Widowed,100169,796,,Home,Employed,15,Poor,0.17474318523176705,259802,3,Lake Alicia,UT,Kenya,2,0
37,Non-binary,PhD,Single,,664,34904,Auto,Self-employed,12,Excellent,0.10628146368738692,152686,,Lake Timothy,PR,Zambia,3,0
64,Non-binary,Bachelor's,Divorced,118318,702,41029,Business,Unemployed,10,Poor,0.2283514732418546,,1,West Meghanshire,KS,Oman,3,1
55,Female,High School,Divorced,61811,641,43859,Auto,Self-employed,18,Excellent,0.19970708636140075,185670,,Aprilland,NH,Uruguay,,0
41,Male,PhD,Single,94796,742,,Business,Unemployed,16,Good,0.3558083758731121,129119,2,Brittanyton,VI,Gambia,3,0
36,Non-binary,PhD,Single,85355,667,18834,Auto,Employed,8,Poor,0.19889771110843277,,4,Michaelborough,CO,Iran,2,2
41,Male,PhD,Married,93133,791,14052,Business,Employed,13,Poor,0.2828500570626953,82774,0,Lewisland,AZ,South Georgia and the South Sandwich Islands,1,0
64,Female,PhD,Married,,749,38635,Personal,Self-employed,16,Fair,0.32023026646936903,,3,West James,OR,Palau,0,1
64,Male,PhD,Married,,636,21086,Auto,Employed,13,Fair,0.46098540243517405,261445,,South Ryan,IA,Tokelau,4,2
34,Male,PhD,Married,115201,,21315,Personal,Unemployed,10,Poor,0.2439426635866098,81794,1,Marchaven,VA,Saint Pierre and Miquelon,1,2
49,Non-binary,High School,Divorced,109882,,35938,Home,Unemployed,3,Excellent,0.48943767459090737,237388,,Pattersonshire,GA,Hungary,2,0
48,Non-binary,PhD,Married,46408,632,48403,Personal,Unemployed,16,Excellent,0.1853253064176966,93647,3,South Jason,KS,Guyana,1,0
69,Non-binary,PhD,Single,38065,,15818,Business,Self-employed,8,Poor,0.39197931307245437,107451,3,South Peterbury,ID,Cote d'Ivoire,0,1
57,Female,Bachelor's,Widowed,,673,16398,Business,Self-employed,8,Fair,0.48378434500169776,159119,1,West Michael,TN,Nauru,1,0
46,Non-binary,High School,Widowed,,637,6382,Auto,Self-employed,2,Good,0.5443904001187262,156010,4,Kevinbury,NM,Guam,2,1
49,Male,Bachelor's,Divorced,117392,685,,Business,Self-employed,12,Good,0.47060051929191327,261093,3,North Michael,HI,Burundi,1,0
57,Female,Master's,Single,54754,604,11947,Home,Self-employed,13,Good,0.28741859356037425,282006,,Berryland,VT,Thailand,2,0
41,Non-binary,High School,Divorced,109379,606,5252,Home,Self-employed,16,Poor,0.45445803658162565,,2,South Josefurt,OR,Belize,,2
47,Female,High School,Single,33065,783,6895,Auto,Self-employed,2,Fair,0.11668091553077334,158428,3,West Sharon,AL,Seychelles,2,0
64,Male,Master's,Single,,,,Personal,Unemployed,16,Excellent,0.4584813509673704,108664,,Lake Joshuahaven,MO,Sao Tome and Principe,,1
35,Female,High School,Single,101496,715,16971,Home,Employed,17,Fair,0.5337873095239466,271400,1,Michaelburgh,TX,Anguilla,,0
35,Female,PhD,Divorced,42787,,14949,Home,Employed,19,Excellent,0.2249910829584871,227655,4,West Donna,WY,Svalbard & Jan Mayen Islands,2,2
18,Female,Master's,Divorced,,748,14522,Home,Unemployed,14,Good,0.5628099578361062,176629,,Campbellfort,AL,China,1,2
21,Male,Bachelor's,Widowed,73952,631,49525,Auto,Unemployed,3,Excellent,0.1436440906212159,32912,0,West Denisebury,KY,French Guiana,1,2
67,Non-binary,Master's,Divorced,54247,,5011,Personal,Unemployed,7,Excellent,0.34465188328801366,239162,3,Mataside,AZ,Iceland,0,0
49,Male,Bachelor's,Married,85689,,,Personal,Unemployed,2,Excellent,0.33600942678929224,232433,0,Camposland,WA,Niue,0,0
30,Female,Bachelor's,Divorced,59593,691,,Business,Unemployed,8,Good,0.4240794529319718,279118,3,Mckeeborough,RI,Martinique,2,0
28,Non-binary,Bachelor's,Married,69237,,46898,Personal,Employed,12,Excellent,0.5162554971778389,89494,1,Conniehaven,VT,Tajikistan,3,2
65,Male,PhD,Widowed,77146,796,38386,Business,Self-employed,17,Fair,0.3231863863545411,262145,0,Johnsonside,LA,Vietnam,4,1
68,Female,PhD,Single,59300,,34783,Auto,Employed,3,Excellent,0.2357605393664252,270400,,West Patrick,WY,Bouvet Island (Bouvetoya),0,2
59,Non-binary,Bachelor's,Married,82233,,45345,Personal,Self-employed,9,Poor,0.47153062888544883,208180,1,South Heather,DE,Kuwait,4,1
39,Non-binary,PhD,Single,93509,703,16651,Auto,Unemployed,5,Fair,0.5285823483026814,270036,0,North Joshuaborough,MI,Falkland Islands (Malvinas),0,0
64,Non-binary,Bachelor's,Married,,763,,Business,Employed,6,Fair,0.3020388782889981,272412,2,Williamston,WV,British Indian Ocean Territory (Chagos Archipelago),1,0
69,Non-binary,High School,Divorced,,721,39416,Personal,Unemployed,4,Excellent,0.41804562248879085,80601,,Herrerafurt,RI,Holy See (Vatican City State),2,1
29,Male,Bachelor's,Divorced,85164,710,14441,Personal,Unemployed,2,Poor,0.25782855255454107,64687,1,South Austinhaven,HI,Niue,,0
47,Male,High School,Widowed,119747,613,26507,Business,Self-employed,10,Good,0.46492482988879213,221402,,Rickymouth,CO,Sao Tome and Principe,1,0
27,Non-binary,Bachelor's,Married,93728,727,,Auto,Unemployed,11,Poor,0.4071845094221763,203446,1,West Davidchester,AS,Singapore,,1
54,Non-binary,PhD,Married,100908,764,,Business,Employed,18,Fair,0.24080921899679622,250753,3,East Adam,MH,Georgia,,0
67,Male,PhD,Widowed,,608,12657,Business,Unemployed,18,Good,0.4657601852969202,107089,1,East Anthony,ND,Guam,0,0
36,Male,Bachelor's,Divorced,29868,635,12521,Auto,Employed,17,Excellent,0.3504541332462523,240325,2,Wendyshire,ND,Dominica,4,0
